cat,tstat,pval,newyork_postcovid_mean,losangeles_postcovid_mean,newyork_postcovid-losangeles_postcovid,newyork_postcovid_sd,losangeles_postcovid_sd,newyork_postcovid_len,losangeles_postcovid_len,newyork_postcovid_med,losangeles_postcovid_med,ks.test,ks.stat,emd,peakdiff
nail.salon,4.60550244089406,2.43948034487853E-05,89.3181818181818,57.2142857142857,32.1038961038961,23.1361216899007,35.7059654173718,44,35,90,57.5,3.88712617649389E-10,0.208984375,27.7609977722168,-0.313111545988249
new.american.restaurant,3.61602195850261,0.001316386553209,60.125,29.3181818181818,30.8068181818182,35.489759457001,22.985777332863,20,55,52.5,15,2.95096169722342E-11,0.220703125,30.595064163208,39.0508806262231
dental.clinic,3.77911327368486,0.000409760530955,83.0172413793103,55.6730769230769,27.3441644562334,25.9754288974011,27.5005244705232,29,26,82.5,45,0,0.306640625,28.8234539031982,43.9432485322896
cocktail.bar,4.729315170916,8.40621556251597E-06,62.3958333333333,35.9883720930233,26.4074612403101,28.1048489670554,25.1610262613614,48,43,52.5,35,1.81410442223751E-13,0.2421875,27.09521484375,41.320939334638
beauty.salon,4.30228891881995,4.87963372602536E-05,66.5384615384615,40.2739726027397,26.2644889357218,39.1739266722148,23.7958681485607,52,73,60,40,1.94633198447036E-12,0.232421875,25.5976581573486,-11.839530332681
hair.salon,3.65409249855743,0.000493572909747,63.2446808510638,41.6509433962264,21.5937374548374,35.8397508756787,20.0596669832154,47,53,57.5,42.5,1.38162472765879E-05,0.15234375,20.1225891113281,2.08414872798434
wine.bar,3.4352685136168,0.000957777183432,52.0833333333333,33.1914893617021,18.8918439716312,28.8018708459649,22.2064310092451,42,47,50,27.5,0,0.294921875,17.0458126068115,38.8551859099804
dentist,3.78785828349454,0.000273792496559,71.5340909090909,53.125,18.4090909090909,24.9838081814474,23.7912220317224,44,60,71.25,55,4.16333634234434E-14,0.248046875,17.399450302124,30.3326810176125
steak.house,2.7595797276434,0.007207660850027,65.3048780487805,47.0555555555556,18.2493224932249,33.1671671327196,27.5788584670112,41,45,52.5,50,1.48784626352594E-06,0.166015625,16.4368553161621,-17.3874755381605
ramen.restaurant,6.76105387817456,1.30639134064135E-08,38.9423076923077,20.8552631578947,18.087044534413,10.8437326812098,10.0046664076758,26,38,38.75,15,1.01675839302429E-05,0.154296875,17.367301940918,24.192759295499
mediterranean.restaurant,4.14961424340254,9.14957614023057E-05,37.0689655172414,20.8564814814815,16.2124840357599,28.1410058979092,13.1896750411541,58,108,27.5,15,4.42325035487912E-08,0.185546875,16.982723236084,0.303326810176124
french.restaurant,1.97685890455787,0.053955871974645,58.6111111111111,43.5227272727273,15.0883838383838,28.8258475535324,24.5877811663432,27,22,52.5,35,1.94633198447036E-12,0.232421875,13.7557811737061,52.6614481409002
seafood.restaurant,4.5102961046567,1.42193664940404E-05,42.3019801980198,27.2883064516129,15.0136737464069,31.1943167266027,18.9376385593691,101,248,30,20,0,0.3203125,13.7453384399414,2.99412915851272
korean.restaurant,2.63895824807611,0.011368585631741,40.9027777777778,26.3141025641026,14.5886752136752,31.0423258159483,17.2016514184485,36,78,35,18.75,0,0.3125,14.7241611480713,-0.420743639921721
family.practice.physician,2.18294637935048,0.036119426221053,63.9130434782609,49.8,14.1130434782609,27.405064302189,15.1196615923329,23,25,60,52.5,2.99247415735948E-09,0.19921875,16.2951107025146,0.68493150684931
dry.cleaner,2.31681515764512,0.026686732035417,31.4772727272727,17.3913043478261,14.0859683794466,24.6482286008584,14.6643945119859,22,23,15,10,4.44857972681234E-09,0.197265625,12.2440280914307,0.689823874755382
peruvian.restaurant,2.97975507720583,0.004944850606442,38.6538461538462,24.9242424242424,13.7296037296037,20.6909493406026,12.5387656465616,26,33,36.25,25,0,0.296875,17.0846996307373,36.6095890410959
sports.bar,1.8410836672031,0.072684561953192,62.9347826086956,49.25,13.6847826086956,29.835269072566,31.5096837415345,23,60,65,50,4.53017307664449E-05,0.14453125,11.814866065979,0.420743639921724
medical.clinic,2.68138610798383,0.009577970480107,58.9893617021277,45.7882882882883,13.2010734138394,31.9632073405777,16.6616802532514,47,111,52.5,42.5,4.42325035487912E-08,0.185546875,15.3086109161377,-15.5479452054794
indian.restaurant,5.38482600166917,1.05473734964602E-06,30.3191489361702,17.2272727272727,13.0918762088975,15.1138525330367,7.6022768164947,47,55,27.5,15,1.11577413974828E-13,0.244140625,12.3214988708496,1.93248532289628
