cat,newyork-newyork,losangeles-losangeles,chicago-chicago,houston-houston,stdev,median
bar...grill,42.416488647461,44.850513458252,38.875270843506,30.992458343506,6.04745895313924,40.6458797454835
tourist.attraction,49.100521087646,38.305805206299,53.948516845703,22.31688117981,14.0187161038376,43.7031631469725
optician,2.1151964664459,14.554118156433,5.3435997962952,21.900020599365,8.98841674885045,9.9488589763641
pizza.delivery,22.340606689453,18.824491500854,22.008302688599,20.403898239136,1.61837430135942,21.2061004638675
bar,46.170211791992,46.220294952393,49.324752807617,19.928043365479,13.7346633230719,46.1952533721925
dentist,2.2084314823151,15.050550460815,3.6445634365082,18.949281692505,8.30044982073697,9.3475569486616
hair.salon,14.816752433777,10.673302650452,16.98530960083,18.310125350952,3.3415577717639,15.9010310173035
medical.clinic,12.887970924377,24.32834815979,22.883811950684,17.297260284424,5.2676160235815,20.090536117554
laundromat,30.137029647827,10.83240032196,11.865607261658,17.078861236572,8.87080022331973,14.472234249115
park,41.141471862793,34.442405700684,46.47082901001,16.644054412842,12.9887892542893,37.7919387817385
gym,34.489486694336,31.949596405029,21.524557113648,16.409173965454,8.55273576440212,26.7370767593385
indian.restaurant,31.577945709229,32.853004455566,31.339714050293,15.85599899292,8.06120241344417,31.458829879761
italian.restaurant,41.346038818359,40.574058532715,30.523216247559,15.781704902649,11.9172738647373,35.548637390137
mediterranean.restaurant,37.071834564209,29.889238357544,17.618612289429,15.340507507324,10.2862842159158,23.7539253234865
brunch.restaurant,37.686809539795,35.060176849365,46.955471038818,14.709550857544,13.5898463085334,36.37349319458
japanese.restaurant,41.290046691895,36.333652496338,46.852802276611,14.653230667114,14.0905869161032,38.8118495941165
doctor,7.7544894218445,15.482890129089,16.900379180908,14.464764595032,4.05566828753941,14.9738273620605
asian.restaurant,33.683631896973,30.982637405396,31.911521911621,14.287120819092,9.02257816728801,31.4470796585085
delivery.restaurant,22.279968261719,24.422018051148,20.919683456421,14.244121551514,4.39158889164616,21.59982585907
seafood.restaurant,38.762893676758,37.679138183594,30.577171325684,13.8834400177,11.4837625954628,34.128154754639
cafe,31.584959030151,17.543590545654,31.472385406494,13.365803718567,9.43585295329869,24.507987976074
pizza.takeaway,17.732185363769,16.977436065674,27.029975891113,13.072137832642,5.91509898961383,17.3548107147215
contact.lenses.supplier,5.1392798423767,16.696905136108,4.2460107803345,13.068785667419,6.0778496233095,9.10403275489785
cocktail.bar,34.893455505371,74.341583251953,47.272609710693,13.067409515381,25.5653149488152,41.083032608032
beauty.salon,11.250605583191,18.102830886841,18.649032592773,12.787572860718,3.73004687882307,15.4452018737795
thai.restaurant,24.258087158203,31.00216293335,37.41641998291,12.483993530273,10.6573321470126,27.6301250457765
sushi.restaurant,35.684734344482,33.41572189331,32.986179351807,10.673984527588,11.7373101192865,33.2009506225585
